id,title,genre,developer,releaseyear
000,Pokemon Red,Adventure,Nintendo,1996
001,Pokemon Blue,Adventure,Nintendo,1996
002,Pokemon Yellow,Adventure,Nintendo,1996
003,Dark Souls,RPG,FromSoftware,2009
004,The Legend of Zelda: Breath of the wild,Adventure,Nintendo,2017
005,Call of Duty 4: Modern Warfare,FPS,Infinity Ward,2007
006,Counter Strike 2,FPS,Valve,2023
007,Destiny 2,FPS,Bungie,2017
008,Cyberpunk 2077,RPG,CDPR,2020
009,Portal,FPS,Valve,2007
010,Super Mario Galaxy,Platformer,Nintendo,2007
011,God Of War,Adventure,Santa Monica,2018
012,Final Fantasy VII Remake,JRPG, Square Enix,2020
013,Total War: Warhammer II,RTS,Creative Assmebly,2017
014,Hitman,Action,IO Interactive,2016
015,Elden Ring,RPG,FromSoftware,2022
016,Slay the Spire,Roguelike,Mega Crit,2019
017,Hades,Roguelike,Supergiant,2020
018,Binding of Isaac:rebirth,Roguelike,Nicalis,2014 
019,Ori and the Blind Forest,Platformer,Moon Studios,2015
020,Ori and the Will of the Wisps,Platformer,Moon Studios,2020 
021,Hollow Knight,Platformer,Team Cherry,2017
022,Borderlands 3,RPG,Gearbox Software,2019
023,Doom Eternal,FPS,id Software,2020
024,The Elder Scrolls V: Skyrim,RPG,Bethesda Game Studios,2011
025,Starfield,RPG,Bethesda Game Studios,2023
026,Baldur's Gate 3,RPG,Larian Studios,2023
027,Diablo 4,RPG,Blizzard,2023
028,Overwatch,FPS,Blizzard,2016
029,Resident Evil 7: Biohazard,Horror,Capcom,2017
030,Resident Evil Village,Horror,Capcom,2021
031,Ark: Survival Evolved,Survival,Studio Wildcard,2017
032,Ark: Survival Ascended,Survival,Studio Wildcard,2023
033,Forza Horizon 5,Racing,Playground Games,2021
034,Gran Turismo 7,Racing,Polyphony Digital,2022
